step,loss,probe_accuracy,timestamp
108000,3.946231,0.9333,2026-01-01T12:36:50.676464
108500,4.049387,,2026-01-01T12:39:14.646926
109000,3.901823,,2026-01-01T12:41:37.002741
109000,3.901823,0.8667,2026-01-01T12:41:37.282840
109500,3.963991,,2026-01-01T12:44:01.746132
110000,3.891558,,2026-01-01T12:46:24.288050
110000,3.891558,0.8667,2026-01-01T12:46:24.567329
110500,3.957993,,2026-01-01T12:48:48.519953
111000,3.954455,,2026-01-01T12:51:10.458967
111000,3.954455,0.8667,2026-01-01T12:51:10.731790
111500,3.953872,,2026-01-01T12:53:34.038601
112000,3.912975,,2026-01-01T12:55:55.809079
112000,3.912975,0.8667,2026-01-01T12:55:56.077390
112500,3.977066,,2026-01-01T12:58:19.651781
113000,3.974507,,2026-01-01T13:00:41.881703
113000,3.974507,0.8667,2026-01-01T13:00:42.162204
113500,3.907172,,2026-01-01T13:03:06.261060
114000,3.943086,,2026-01-01T13:05:28.520751
114000,3.943086,0.8667,2026-01-01T13:05:28.800848
114500,3.951932,,2026-01-01T13:07:53.042964
115000,3.895769,,2026-01-01T13:10:15.453180
115000,3.895769,0.8000,2026-01-01T13:10:15.719656
115500,3.918187,,2026-01-01T13:12:39.674720
116000,3.881289,,2026-01-01T13:15:02.007091
116000,3.881289,0.8667,2026-01-01T13:15:02.272446
116500,3.960429,,2026-01-01T13:17:26.101823
117000,3.866870,,2026-01-01T13:19:47.911356
117000,3.866870,0.8667,2026-01-01T13:19:48.181957
117500,3.926652,,2026-01-01T13:22:12.248627
118000,3.968410,,2026-01-01T13:24:34.600732
118000,3.968410,0.8667,2026-01-01T13:24:34.882269
118500,3.923914,,2026-01-01T13:26:58.797339
119000,3.882071,,2026-01-01T13:29:20.750470
119000,3.882071,0.8667,2026-01-01T13:29:21.019784
119500,3.874220,,2026-01-01T13:31:44.679169
120000,3.889929,,2026-01-01T13:34:06.816602
120000,3.889929,0.8667,2026-01-01T13:34:07.091178
120500,3.907241,,2026-01-01T13:36:30.902816
121000,3.881039,,2026-01-01T13:38:51.181597
121000,3.881039,0.8667,2026-01-01T13:38:51.439696
121500,3.955779,,2026-01-01T13:41:13.031313
122000,3.950941,,2026-01-01T13:43:32.991029
122000,3.950941,0.8000,2026-01-01T13:43:33.247448
122500,3.882686,,2026-01-01T13:45:55.130091
123000,3.927355,,2026-01-01T13:48:15.146430
123000,3.927355,0.8000,2026-01-01T13:48:15.418382
123500,3.891873,,2026-01-01T13:50:37.065264
124000,3.903470,,2026-01-01T13:52:57.024336
124000,3.903470,0.9333,2026-01-01T13:52:57.286367
124500,3.847576,,2026-01-01T13:55:18.940964
125000,3.897899,,2026-01-01T13:57:38.897687
125000,3.897899,0.9333,2026-01-01T13:57:39.153423
125500,3.887359,,2026-01-01T14:00:01.086056
126000,3.863865,,2026-01-01T14:02:21.035775
126000,3.863865,0.9333,2026-01-01T14:02:21.287598
126500,3.908642,,2026-01-01T14:04:43.024586
127000,3.843217,,2026-01-01T14:07:03.044340
127000,3.843217,0.8000,2026-01-01T14:07:03.373942
127500,3.904828,,2026-01-01T14:09:25.158863
128000,3.842586,,2026-01-01T14:11:45.104611
128000,3.842586,0.8667,2026-01-01T14:11:45.372824
128500,3.899572,,2026-01-01T14:14:07.248971
129000,3.787071,,2026-01-01T14:16:27.461313
129000,3.787071,0.9333,2026-01-01T14:16:27.706944
129500,3.911375,,2026-01-01T14:18:49.378386
130000,3.826629,,2026-01-01T14:21:09.415780
130000,3.826629,0.8667,2026-01-01T14:21:09.675667
130500,3.865506,,2026-01-01T14:23:31.527405
131000,3.913444,,2026-01-01T14:25:51.480427
131000,3.913444,0.8000,2026-01-01T14:25:51.735367
131500,3.838978,,2026-01-01T14:28:13.332372
132000,3.876305,,2026-01-01T14:30:33.284303
132000,3.876305,0.8667,2026-01-01T14:30:33.542870
132500,3.897235,,2026-01-01T14:32:55.271398
133000,3.857574,,2026-01-01T14:35:15.223922
133000,3.857574,0.8667,2026-01-01T14:35:15.494483
133500,3.919924,,2026-01-01T14:37:37.153286
134000,3.901636,,2026-01-01T14:39:57.100618
134000,3.901636,0.8000,2026-01-01T14:39:57.368029
134500,3.906950,,2026-01-01T14:42:19.164566
135000,3.886396,,2026-01-01T14:44:39.111167
135000,3.886396,0.8667,2026-01-01T14:44:39.379263
135500,3.821666,,2026-01-01T14:47:01.369691
136000,3.891061,,2026-01-01T14:49:21.337348
136000,3.891061,0.8667,2026-01-01T14:49:21.612790
136500,3.835588,,2026-01-01T14:51:43.317529
137000,3.844685,,2026-01-01T14:54:03.346177
137000,3.844685,0.8667,2026-01-01T14:54:03.615613
137500,3.843836,,2026-01-01T14:56:25.258756
