step,category,accuracy,mean_log_ratio,correct,total,timestamp
68000,gender,100.00,1.6089,4,4,2025-12-31T20:02:26.346225
68000,number,0.00,-1.8341,0,2,2025-12-31T20:02:26.346241
68000,article_gender,50.00,0.0000,1,2,2025-12-31T20:02:26.346251
68000,collocation,50.00,-0.0000,1,2,2025-12-31T20:02:26.346261
69000,gender,100.00,2.8683,4,4,2025-12-31T21:47:22.998122
69000,number,0.00,-0.4844,0,2,2025-12-31T21:47:22.998137
69000,article_gender,50.00,-0.0000,1,2,2025-12-31T21:47:22.998148
69000,collocation,50.00,-0.0000,1,2,2025-12-31T21:47:22.998157
70000,gender,100.00,1.7032,4,4,2025-12-31T23:26:20.621784
70000,number,0.00,-1.5355,0,2,2025-12-31T23:26:20.621799
70000,article_gender,50.00,-0.0000,1,2,2025-12-31T23:26:20.621810
70000,collocation,50.00,-0.0000,1,2,2025-12-31T23:26:20.621820
71000,gender,100.00,3.3508,4,4,2026-01-01T01:06:53.068329
71000,number,0.00,-2.9652,0,2,2026-01-01T01:06:53.068349
71000,article_gender,50.00,-0.0000,1,2,2026-01-01T01:06:53.068365
71000,collocation,50.00,-0.0000,1,2,2026-01-01T01:06:53.068379
72000,gender,100.00,5.4419,4,4,2026-01-01T02:46:09.556257
72000,number,0.00,-6.3517,0,2,2026-01-01T02:46:09.556278
72000,article_gender,50.00,-0.0000,1,2,2026-01-01T02:46:09.556294
72000,collocation,50.00,-0.0000,1,2,2026-01-01T02:46:09.556309
