step,loss,ppl,grammar_acc,grammar_lr,timestamp
141000,4.325858,75.63,1.0000,2.2506,2026-01-01T12:02:37.687504
141500,4.327211,75.73,,,2026-01-01T12:05:42.249559
142000,4.506538,90.61,,,2026-01-01T12:08:41.076000
142000,4.506538,90.61,1.0000,2.3221,2026-01-01T12:08:41.201878
142500,4.395380,81.08,,,2026-01-01T12:11:45.981610
143000,4.305755,74.13,,,2026-01-01T12:14:44.761710
143000,4.305755,74.13,1.0000,2.5683,2026-01-01T12:14:44.867984
143500,4.550011,94.63,,,2026-01-01T12:17:48.512638
144000,4.446673,85.34,,,2026-01-01T12:20:47.304595
144000,4.446673,85.34,1.0000,2.1344,2026-01-01T12:20:47.427353
144500,4.297335,73.50,,,2026-01-01T12:23:51.896124
145000,4.544189,94.08,,,2026-01-01T12:26:51.029266
145000,4.544189,94.08,1.0000,2.1433,2026-01-01T12:26:51.130336
145500,3.872185,48.05,,,2026-01-01T12:29:55.849841
146000,4.610060,100.49,,,2026-01-01T12:32:54.661565
146000,4.610060,100.49,1.0000,3.4780,2026-01-01T12:32:54.782808
146500,4.492823,89.37,,,2026-01-01T12:35:59.282587
147000,4.177462,65.20,,,2026-01-01T12:38:58.418957
147000,4.177462,65.20,0.8000,2.0940,2026-01-01T12:38:58.548305
147500,4.378631,79.73,,,2026-01-01T12:42:03.101955
148000,4.263484,71.06,,,2026-01-01T12:45:02.057236
148000,4.263484,71.06,1.0000,3.1688,2026-01-01T12:45:02.174951
148500,4.361323,78.36,,,2026-01-01T12:48:06.141725
149000,2.076125,7.97,,,2026-01-01T12:51:05.158146
149000,2.076125,7.97,1.0000,2.8068,2026-01-01T12:51:05.283658
149500,4.306982,74.22,,,2026-01-01T12:54:09.649317
150000,3.957547,52.33,,,2026-01-01T12:57:08.605013
150000,3.957547,52.33,1.0000,3.4352,2026-01-01T12:57:08.732291
150500,4.134702,62.47,,,2026-01-01T13:00:13.159484
151000,4.370518,79.08,,,2026-01-01T13:03:12.048518
151000,4.370518,79.08,1.0000,2.4406,2026-01-01T13:03:12.158852
151500,4.343718,76.99,,,2026-01-01T13:06:16.158403
152000,4.434231,84.29,,,2026-01-01T13:09:14.842196
152000,4.434231,84.29,1.0000,2.5863,2026-01-01T13:09:14.962071
152500,4.300605,73.74,,,2026-01-01T13:12:18.740268
153000,4.143703,63.04,,,2026-01-01T13:15:17.489056
153000,4.143703,63.04,1.0000,3.1570,2026-01-01T13:15:17.612257
153500,4.491220,89.23,,,2026-01-01T13:18:22.072390
154000,4.445298,85.23,,,2026-01-01T13:21:20.941418
154000,4.445298,85.23,1.0000,2.3916,2026-01-01T13:21:21.054641
154500,4.424784,83.49,,,2026-01-01T13:24:24.916077
155000,4.108602,60.86,,,2026-01-01T13:27:23.669739
155000,4.108602,60.86,1.0000,3.3943,2026-01-01T13:27:23.799742
155500,4.359321,78.20,,,2026-01-01T13:30:28.095814
156000,4.477445,88.01,,,2026-01-01T13:33:27.164545
156000,4.477445,88.01,1.0000,3.0092,2026-01-01T13:33:27.283874
156500,4.207373,67.18,,,2026-01-01T13:36:31.707486
157000,4.193131,66.23,,,2026-01-01T13:39:30.560995
157000,4.193131,66.23,1.0000,3.2643,2026-01-01T13:39:30.682187
157500,4.388243,80.50,,,2026-01-01T13:42:35.599880
158000,4.337587,76.52,,,2026-01-01T13:45:34.385205
158000,4.337587,76.52,1.0000,3.5277,2026-01-01T13:45:34.511643
158500,4.251541,70.21,,,2026-01-01T13:48:40.398852
159000,4.402281,81.64,,,2026-01-01T13:51:39.364564
159000,4.402281,81.64,1.0000,2.8784,2026-01-01T13:51:39.499163
159500,4.252035,70.25,,,2026-01-01T13:54:44.055355
160000,4.175564,65.08,,,2026-01-01T13:57:42.952630
160000,4.175564,65.08,1.0000,3.5241,2026-01-01T13:57:43.083334
160500,4.157900,63.94,,,2026-01-01T14:00:46.992314
161000,4.445103,85.21,,,2026-01-01T14:03:45.815418
161000,4.445103,85.21,1.0000,3.0740,2026-01-01T14:03:45.941624
161500,4.565515,96.11,,,2026-01-01T14:06:50.731133
162000,4.341540,76.83,,,2026-01-01T14:09:49.648688
162000,4.341540,76.83,1.0000,2.8697,2026-01-01T14:09:49.770215
162500,4.167072,64.53,,,2026-01-01T14:12:55.493290
163000,4.187097,65.83,,,2026-01-01T14:15:54.138789
163000,4.187097,65.83,1.0000,2.9240,2026-01-01T14:15:54.246055
163500,4.275362,71.91,,,2026-01-01T14:18:57.781758
164000,4.280592,72.28,,,2026-01-01T14:21:56.659663
164000,4.280592,72.28,1.0000,2.1206,2026-01-01T14:21:56.835405
164500,4.366016,78.73,,,2026-01-01T14:25:01.197346
165000,4.241932,69.54,,,2026-01-01T14:28:00.129210
165000,4.241932,69.54,1.0000,3.1352,2026-01-01T14:28:00.234412
165500,4.477622,88.03,,,2026-01-01T14:31:04.686875
166000,4.082953,59.32,,,2026-01-01T14:34:03.460544
166000,4.082953,59.32,1.0000,2.4805,2026-01-01T14:34:03.579653
166500,4.234992,69.06,,,2026-01-01T14:37:07.869442
167000,4.490786,89.19,,,2026-01-01T14:40:06.783620
167000,4.490786,89.19,1.0000,2.6004,2026-01-01T14:40:06.922936
167500,4.227154,68.52,,,2026-01-01T14:43:11.170623
168000,4.226131,68.45,,,2026-01-01T14:46:09.969005
168000,4.226131,68.45,1.0000,2.5971,2026-01-01T14:46:10.073260
168500,4.209358,67.31,,,2026-01-01T14:49:14.325843
169000,3.963715,52.65,,,2026-01-01T14:52:12.997298
169000,3.963715,52.65,1.0000,2.1035,2026-01-01T14:52:13.101051
169500,4.365342,78.68,,,2026-01-01T14:55:16.827884
170000,4.266138,71.25,,,2026-01-01T14:58:15.833701
